id,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_IR,beta_ER,beta_CS,beta_HB,beta_IS,beta_EI,beta_TQI,beta_IEGDP,beta_HTE,beta_ITE,se_Intercept,se_IR,se_ER,se_CS,se_HB,se_IS,se_EI,se_TQI,se_IEGDP,se_HTE,se_ITE,t_Intercept,t_IR,t_ER,t_CS,t_HB,t_IS,t_EI,t_TQI,t_IEGDP,t_HTE,t_ITE,p_Intercept,p_IR,p_ER,p_CS,p_HB,p_IS,p_EI,p_TQI,p_IEGDP,p_HTE,p_ITE,sumW
0.0,14.1421305924,47.5875718486,0.19297963306441118,0.7487652548450172,-0.5535165032009379,0.746496136265349,0.7951480509917676,0.17720722943938577,0.04564604415280361,0.0005934098696346798,0.3898410213874246,0.30812402068362077,0.5076667623419535,-0.2818462955382311,0.5770920514392088,-0.5583051133220075,0.4912616099607183,0.3933411812646985,-0.26970350480976685,-0.06575971243903203,0.08585657758764156,0.13590689138362197,0.14031441416157345,0.1628865269649181,0.09767286708895587,0.13962176302208415,0.16849807581364631,0.16018882586221994,0.10373096099767552,0.16041862450215513,0.09905865638523012,0.006911641324497623,2.8684418973797823,2.1959541542810626,3.1166897090960317,-2.8856150529659246,4.133252860787394,-3.313421299478077,3.0667657829220714,3.7919361536958363,-1.681248082301962,-0.6638461981888638,0.9945215104913565,0.0066980715756469284,0.03427067364139031,0.0034758342435006443,0.006406283878393092,0.00018979004551964988,0.00203128504585501,0.003974076959428559,0.0005207990701554632,0.10091731153505128,0.5107966784728091,38.630777282255146
1.0,25.5497028087,58.6706337237,0.16600398543175152,-0.013229980189704116,0.18031557747768634,-0.014311592045934823,0.7932902930309331,0.14797959712573988,1.3065476814521507e-05,-0.000366838460180062,0.3913027559729055,0.31000982043596015,0.5071815831849967,-0.28479957940175554,0.5760654936144259,-0.5617911614766143,0.4919756200845325,0.39325410566076585,-0.26771054009987727,-0.06363572739639954,0.08585763370036602,0.1359067847383833,0.14032178330979575,0.1628890015265762,0.09767447252223554,0.1396290238351317,0.16850763692447238,0.1601958269715978,0.10373593257990263,0.1604178983548803,0.0990542849627406,-0.004272636507317323,2.879199568484768,2.209277940485799,3.113663773684851,-2.915803608122082,4.125685891026644,-3.3339210716509986,3.0710888628313535,3.790915027036189,-1.6688321119108644,-0.6424328581074126,0.9966132917844295,0.006513869581988671,0.03325638720944478,0.003504268871263459,0.005921979483212064,0.0001941415442017994,0.0019191463150552569,0.003928398725758195,0.0005223515974948918,0.10337077897758284,0.5244494828604771,38.32005170611812
2.0,31.405508919,49.0089209245,-1.263705339099213,-0.29872965840164434,-0.9715287028753739,-0.29217663622383916,0.7947618047604962,0.28570214429898866,0.014958680731418069,0.0003141841571498681,0.38924012711760486,0.3081082984680717,0.5066072551143321,-0.2844781570294254,0.5758181542720908,-0.560155879622298,0.49144018451696836,0.3937915849434165,-0.26749124696071636,-0.0631670867580515,0.08585983828905135,0.1359112046080825,0.14032665975594097,0.16289439839217096,0.09767690815501362,0.13963316855467112,0.1685177234575951,0.16019857298378692,0.10373777553260394,0.16041945804880983,0.09905876348262765,0.003659267981523,2.863929638766936,2.1956504844050304,3.11003484536446,-2.9124402318095237,4.123792077715679,-3.3240176055621387,3.067693896166635,3.796028813242202,-1.6674488881475242,-0.6376728775655408,0.997099476347186,0.006776773938520588,0.034294107780203385,0.0035386599539983642,0.005974188440628896,0.0001952457613907139,0.001972562384980269,0.003964228334852632,0.000514621297353091,0.10364713938837737,0.5275105830936646,38.31002978768885
3.0,-2.89697548888,54.1585427683,1.4068837765340962,0.0021176248470475834,1.4033705972756747,0.0035131792584215393,0.7938135562881686,0.5710740230924598,1.1988803543558167e-05,3.22279945371845e-05,0.39221349959189744,0.31006473150719455,0.5086624332833847,-0.28108988344248487,0.577887241133069,-0.5592001207482064,0.4917479510183551,0.3926221526797144,-0.27082318028515373,-0.06732408477049207,0.08585625399533031,0.13591190092509395,0.14032300218838245,0.16289614998808555,0.09767657429882835,0.13962410431928418,0.16849710939581844,0.1601846149900927,0.10373456936980621,0.1604278171325617,0.09906085141345587,0.0003753715429855275,2.8857921706801872,2.209650069280411,3.122617896866126,-2.8777614843711468,4.138878769897714,-3.31875201155281,3.0698825292851586,3.7848728255673856,-1.688131055609715,-0.6796235224094505,0.99970246057079,0.006403337376629533,0.03322844591235129,0.0034207587088601918,0.0065382164796733595,0.00018661666184146864,0.002001537903252054,0.003941094905523843,0.0005316303378987648,0.09957810749090518,0.5008621973739577,38.231510962223936
4.0,16.7581869959,62.7713885608,0.5571508761053157,0.20301092795800985,0.35283138976742956,0.2043194863378861,0.7926634910154737,0.15943341732684096,0.00294782845464057,-0.0006311320154037715,0.39242201266958837,0.31093299283790166,0.5076605251794577,-0.2844396389613658,0.576453346097391,-0.5622051734601694,0.4921901620747994,0.3929029300723379,-0.2682553038981966,-0.06437869894050138,0.08585735166742273,0.13590873396579498,0.14032389306207255,0.16289108528011473,0.09767437763227456,0.13963142122469088,0.16850482866353983,0.1601963761947842,0.1037387342834381,0.1604203672031372,0.0990531479480419,-0.0073509373763184106,2.8873936296717453,2.2158235924965384,3.1165642018190387,-2.912121334749907,4.128392743133214,-3.336433607981326,3.07241757751337,3.7874274521109603,-1.6722022806400267,-0.649940968804657,0.9941733101815114,0.006376753246245605,0.032767944620798004,0.003477009280605684,0.005979160922438344,0.0001925738517088577,0.0019058156777844249,0.003914459220231866,0.0005276879981254571,0.10269998717208743,0.5196403886243754,38.16403078353009
5.0,14.8176063338,46.123822106,-0.6702410911806972,-0.08809768490469905,-0.5807394935751451,-0.0895015976055521,0.7953886329570656,0.19694100157282596,0.0007655090474103614,0.0007082313060784926,0.38953908729401,0.3078303356188479,0.5076126455226668,-0.28171284098600713,0.5770970150653438,-0.5579892064188547,0.49116783112903073,0.3934079789182789,-0.2697430020144218,-0.06576940547245144,0.08585721943845857,0.13590809678296573,0.1403152887446205,0.16288762276053972,0.09767338320689029,0.1396236592299556,0.1684993598241821,0.1601908398161433,0.10373172359915377,0.16041928605646916,0.09906000646509598,0.008248942962637455,2.8661948516288365,2.1938474301194044,3.116336508077754,-2.884233470128574,4.133232277739434,-3.3115212247754497,3.066141807438936,3.7925522228716564,-1.6814873613105947,-0.6639350008080752,0.9934615254706352,0.006737156956702462,0.03443354251419633,0.0034791419775658723,0.0064293112295067895,0.00018980175192012674,0.0020419896588021818,0.003980711218679184,0.0005198645572719601,0.10087050647341701,0.5107404640420119,38.60236636838269
6.0,19.4836334583,48.7095382017,-0.17119160997649435,0.06694700981259458,-0.23646710666409276,0.06527549668759841,0.7949659717895244,0.20504034673519134,0.0004326104831508726,0.0004740500643210417,0.3897158760032205,0.30818948769689,0.5073368339342675,-0.2827351961362101,0.5766747239851442,-0.5589850177892135,0.4913424247863649,0.39347051279605466,-0.2689748493746867,-0.06491220884825813,0.08585676053782243,0.13590639817396438,0.14031584409009537,0.16288622385832552,0.09767266894112211,0.13962277227773123,0.16850194412957553,0.16018986095474533,0.10373198351438832,0.16041684140157747,0.09905644346634186,0.005521406367436944,2.8675314866660813,2.19639834471583,3.1146699942871585,-2.894721718996388,4.130234019691639,-3.317380227728187,3.06725046053428,3.793145560949171,-1.6767245073810666,-0.6553052641175683,0.9956234626666671,0.006713881767235418,0.034236421186170665,0.0034947891174846686,0.006256419164999001,0.00019151453459560004,0.0020091529588205843,0.003968930951322232,0.0005189660605447384,0.1018055524263134,0.5162189949913409,38.621576368572676
7.0,20.7820093342,44.2260950428,-1.3041688105481943,0.016839144550282015,-1.31833651946732,0.014167708919125666,0.7956886729125153,0.17059453396545513,1.5576794581106496e-05,0.0008216670808449435,0.3888286496095401,0.3073167726812691,0.5071894198047783,-0.2823006270652188,0.5767114623486261,-0.5580170731683478,0.49106049124693013,0.39366250723340834,-0.269124455089354,-0.06498052622584302,0.08585882823117022,0.13591085703982664,0.14031969604989566,0.1628906877636679,0.09767450087287782,0.13962927983355836,0.16850677496999994,0.16019598946131877,0.10373513583889755,0.16041945018011217,0.09906047100185116,0.009569977808602857,2.860909408404361,2.190118574458654,3.1136796508627964,-2.8902182713237474,4.130304639801056,-3.3115408758353735,3.065373190041705,3.7948811080247,-1.6776298309662105,-0.6559682744152178,0.9924144457676534,0.006829934223975765,0.034723502851196915,0.0035041191013403432,0.006330115811034605,0.00019147401917996726,0.002041878674154107,0.003988897713671514,0.0005163465329710325,0.10162726858411555,0.5157969662365797,38.49999051433685
8.0,24.9855880202,45.839710206,-0.40048461485410053,0.412274163552714,-0.8139225492860386,0.41343793443193805,0.7953867170354229,0.14409493606434487,0.010521209962216655,0.0006504700996429261,0.38890254688891573,0.3075482900990873,0.5069347716203297,-0.2831482608387142,0.5763477035491247,-0.5587934479258093,0.4911882239509131,0.3937361512087506,-0.26846930500996585,-0.06424323768207843,0.08585893883568423,0.13591056246748584,0.1403218188468557,0.1628913472985421,0.09767487638129708,0.13962992835859395,0.16851072738421796,0.16019606000536957,0.1037359740579433,0.16041864027774924,0.09905882754826437,0.007576032367320399,2.861459329049232,2.191735345411529,3.112103742939984,-2.8988852745856333,4.12768029264445,-3.316070475749093,3.0661691925160275,3.795560361623667,-1.6735542985848615,-0.6485362210730512,0.9939948930280611,0.00682022593742703,0.034597515589640866,0.003519014249440272,0.006188999641821502,0.0001929852697428297,0.0020164494446272283,0.003980419834705473,0.0005153248004690009,0.10243189786348919,0.520538355076885,38.4631072503022
9.0,-8.51497567547,39.596548133,0.5031995808399974,-0.41261452008313626,0.9143061014296543,-0.4111065205896569,0.795889918984834,0.29603217393248504,0.031592903400528685,0.0011282582474487213,0.3906458498432784,0.30796122558912536,0.5092976043126441,-0.2775436977024564,0.5791607146183362,-0.555106466771286,0.4909067245139767,0.39268266053439493,-0.2732586223122322,-0.06993945781301843,0.08586571938878465,0.1359316485332357,0.14033863108472594,0.16292147917432734,0.09769322233456358,0.1396485899806574,0.16850763818848347,0.16020762117719112,0.10373898486746597,0.16045255666156938,0.09909698022791356,0.013139798460665883,2.873840301787882,2.1944152027762156,3.1260310604453294,-2.840971881877032,4.147272197295764,-3.2942510662357876,3.0641908350354274,3.7852949981733035,-1.7030493498997106,-0.7057678009174888,0.9895850049315713,0.00660503539086869,0.03438958099979645,0.003389424506759975,0.007190751646206137,0.0001819783367001501,0.0021417834626485527,0.0040015219271113,0.0005309768730853633,0.09672605254806427,0.48463706921636973,37.48002345974974
10.0,19.3934963869,52.1295303757,-0.7511680340786763,0.11315896268637349,-0.8632930202688605,0.11212498619018418,0.7944079023629149,0.14973417164547212,0.0008148239671964162,0.0002018817630455895,0.3903442903493418,0.3088397659530973,0.5073889267863247,-0.2832025872945894,0.5765837885476548,-0.5598016106064045,0.49155618392044015,0.39334952763392705,-0.26874649973703685,-0.06472159311325858,0.08585603032261604,0.1359048022256426,0.14031535557874805,0.1628849900734218,0.09767214447928833,0.13962119715268367,0.16850085994822067,0.16018819888153038,0.10373155103898689,0.16041600931843572,0.0990542697931021,0.002351398757745851,2.872189090870046,2.20104039703459,3.1150134002992838,-2.899522569146041,4.129629313499782,-3.3222477961146804,3.068616710547935,3.7919950458090517,-1.675309720512735,-0.6533952877391827,0.9981361581279293,0.006633363382512079,0.03388027870638338,0.003491559393793758,0.0061787402773467795,0.000191861803102262,0.001982256356136696,0.003954458781273647,0.0005207096666585139,0.10208468235480503,0.517435800385272,38.61859306192415
11.0,5.57365078733,52.2630180481,1.1236394763911657,-0.151479958241447,1.275240794876302,-0.15160131848513636,0.7943002953852456,0.5062850081810237,0.014938118857087386,0.0002240892883494383,0.3912431559632462,0.3093102180146925,0.5081998981208626,-0.2815834096808544,0.5774737846498268,-0.5589999738691344,0.49157580191111877,0.39293508263087584,-0.27021982208873685,-0.06651537649309786,0.08585541366749018,0.13590688223770628,0.1403156816431279,0.16288829747782596,0.09767338827210749,0.13961953762771764,0.16849460164834484,0.16018413956111335,0.10373091440470715,0.16042134293214438,0.09905779223268554,0.002610077556871541,2.878758967326961,2.2043880939934932,3.119928846883823,-2.882908176548493,4.136052836599461,-3.3176135520103505,3.068816945660048,3.78802293304613,-1.6844381000041586,-0.6714805064184557,0.9979311162107904,0.006521319979152717,0.03362548797242588,0.0034456380850751674,0.006451473108825121,0.00018820414228229958,0.002007855780052927,0.003952341955909949,0.000526773119480269,0.10029479322483109,0.5059762626069025,38.52844069208453
12.0,19.2371224956,42.7773187574,-0.19816725760915402,0.5663424292345869,-0.7613044660824329,0.5631372084732789,0.7959313825377378,0.22414440606895505,0.03695235119054714,0.0009502575286315651,0.38865998668506485,0.30708156755754995,0.507277627909453,-0.28186399626107816,0.5768771096970076,-0.5575278108234427,0.49095971877816197,0.39365960064911654,-0.2694339778653231,-0.06531297791142224,0.08585942001870343,0.13591231912912555,0.14032016349213264,0.1628919643867409,0.0976750766864515,0.1396311136587789,0.16850651879313813,0.16019792736998048,0.10373576221156013,0.16042085947124396,0.09906251705024341,0.011067597806094695,2.8596376632776943,2.1884350752966957,3.1141967611432677,-2.8857309952864925,4.1314367162231544,-3.308642388534978,3.064707058564373,3.794830174827094,-1.6795445352517895,-0.6593107045553488,0.9912274175318905,0.006852435045127198,0.03485512268718476,0.0034992444919836126,0.006404354937305487,0.00019082567775053814,0.002058310957818571,0.003996005487019206,0.000516423225661744,0.10125106045350363,0.5136722329399409,38.461577214965196
13.0,14.3997672226,35.9229296884,2.1891775578812287,0.16870515614616144,2.021276968357708,0.1679005895235206,0.7970362743457098,0.3590299867306695,0.0077091635041899595,0.0015303299387746383,0.38779596299876473,0.3059680291657214,0.5075803538693745,-0.28008451183087835,0.5775310699800299,-0.5554028070178352,0.4904891595861753,0.3936911615486106,-0.27066438429643724,-0.06660534441926758,0.08586458081284223,0.13592351999474853,0.14032804354164619,0.16290365207288882,0.09768080968123671,0.13964809811696188,0.1685113215198051,0.16021507094265366,0.10374257351097506,0.1604313014752873,0.09907646242295198,0.017822598378605913,2.8530453229415147,2.1803769328182576,3.115831642879714,-2.867344289475921,4.135617153169679,-3.2959376379500935,3.0614420772046955,3.7948852455155406,-1.687104584999768,-0.6722620367179948,0.9858736287790975,0.006970186135074304,0.03549127930890829,0.0034838752196791217,0.006717136952449635,0.00018845005988471971,0.002131836652406771,0.004031016766425611,0.0005163403034263866,0.09977688541494628,0.5054842008023237,38.03455570636733
14.0,21.6883918192,41.5937835168,-0.7107045626296877,-0.2034656204324643,-0.5062700650857401,-0.2044344975439476,0.7961089654941922,0.19117931155787138,0.003822013997407347,0.0010236297604517275,0.38829938005953735,0.3068045052580532,0.5070875076198167,-0.28208281262808543,0.5767195056119112,-0.5574706853049154,0.4908932805435818,0.39378003582403753,-0.26918346022282386,-0.06498533335865464,0.08586055627008499,0.13591469937760908,0.14032352380705454,0.16289479780224628,0.09767612841377346,0.13963522564846353,0.16851110505495795,0.1602013719236151,0.10373829550484324,0.16042184837767506,0.09906341313643606,0.011922002429518085,2.8569343995731686,2.186408215346065,3.1129754569290737,-2.8879401467790826,4.130186369045747,-3.308213337768468,3.0642264460609137,3.795898456859194,-1.677972563868579,-0.6559973182950294,0.9905502169541882,0.006900493714765332,0.03501417473858883,0.0035107676088233816,0.0063677047433105295,0.00019154187694565356,0.002060754046877384,0.00400114115182956,0.0005148169682226788,0.1015598422555203,0.5157784830695216,38.36532937585712
15.0,28.4685263741,47.2041118462,-0.8455828007929851,-0.18352033854606709,-0.6654916231841895,-0.18009117760879556,0.7951119408503778,0.43745185800839304,0.014029534721984012,0.0004984389471383785,0.3890042784886954,0.30777359149937067,0.5067403396866499,-0.283839075457648,0.5760592514309931,-0.5594524278285435,0.49130139255499167,0.39378514584915647,-0.2679446131808921,-0.06365745231564855,0.08585939594402443,0.1359109701793242,0.14032442403342807,0.16289294516924677,0.09767584592063318,0.13963158759832606,0.16851465442241087,0.16019720967488138,0.10373702122584819,0.1604189035454455,0.09905857628771564,0.005805292963665072,2.862199261585977,2.1933002299446667,3.1108795973953542,-2.9059290224963332,4.1255654350083395,-3.3199037184397038,3.0668536209343653,3.7959943441198107,-1.6702807914715945,-0.6426243410843648,0.9953984427659699,0.006807183523801975,0.034475958371755995,0.0035306259158787634,0.0060764878381342445,0.00019421159599384617,0.0019951658075243943,0.003973143882603337,0.0005146730300693026,0.10308199413075235,0.5243265401749223,38.389862752172505
16.0,24.9315849516,56.8533008904,0.32785787122770954,0.8491672492964843,-0.5191853057974474,0.847043177025157,0.7935942666588089,0.1831702299308584,0.06163826258371334,-0.0002183132777351486,0.39097765804978696,0.3096620875288372,0.5071706935687997,-0.2845068738468743,0.5761299173292295,-0.5613303961956368,0.49186525056284874,0.3933137846786576,-0.2678649103567939,-0.06377917449811649,0.08585717723576589,0.13590597455685685,0.14032006838828476,0.16288772551722525,0.09767381999725844,0.13962663724179475,0.1685064242753354,0.1601935339393573,0.10373459598732146,0.16041699698519102,0.09905399485300441,-0.0025427493048793704,2.876824652666169,2.2068268002261804,3.1136213116019404,-2.912826321882977,4.126217809940747,-3.331210656268135,3.0704438466851522,3.791539176830927,-1.669803795052478,-0.6438829104546913,0.9979844839800932,0.006554122862487922,0.03344095394434662,0.003504669447186825,0.005968173418310959,0.00019383249904083644,0.00193362659515214,0.003935182452930265,0.0005214021045357718,0.1031770065224471,0.5235188512178651,38.41215451756237
17.0,23.9048374352,55.3347881103,-0.11724031471117502,-0.2776762288651474,0.1570021108613675,-0.2742424255725425,0.7938530548565177,0.24782840561668773,0.010309415070561066,-8.904215459048376e-05,0.3907301477507635,0.30937962928471885,0.5071918132572605,-0.28419392180701886,0.5762196055583676,-0.5609018912594244,0.4917694135268573,0.39334916882558973,-0.2680539582782957,-0.0639698760864903,0.08585680369967731,0.13590544442543226,0.14031863075688839,0.16288673922972868,0.09767325856704556,0.13962478787132918,0.16850512815133276,0.1601917286849781,0.10373358511990038,0.16041640025792367,0.09905383884100347,-0.0010371007392954977,2.8750146795270357,2.2048364327381456,3.113769823471868,-2.9096389940952,4.126914814648679,-3.328693300987754,3.0698801839758953,3.7919172307689686,-1.670988489003046,-0.6458091562627039,0.9991779389822308,0.006584956748115342,0.033591494927317084,0.003503268615084287,0.006018000168783722,0.00019342826598057062,0.0019471688008861423,0.003941119626650623,0.0005208278000072886,0.10294116192598232,0.5222839663220733,38.48441457955877
18.0,12.0781973437,42.7894239151,0.530175228472656,-0.1385087404363481,0.6676117950829675,-0.13743656661031156,0.7959135132779972,0.23079001425991122,0.002305575229655977,0.0009853036279775206,0.3891552498708287,0.3073109258824185,0.5077839347618887,-0.2808053757009077,0.5774337696775254,-0.5569500426142622,0.49095074880301026,0.3934126764962569,-0.27037715386864286,-0.0664475206128915,0.08585895924571814,0.13591204235414403,0.14031753166393568,0.16289178888397624,0.09767559699845621,0.13962880063694771,0.16850015145780942,0.16019602488618018,0.10373332839790268,0.16042344191936492,0.09906591466539327,0.011475839407250426,2.863287484539542,2.1901106885092343,3.1173083569213578,-2.8748774958124486,4.135491868750811,-3.305338528159818,3.064687461201565,3.7925388356112077,-1.6853967888592303,-0.6707404947233948,0.9909038446394426,0.0067880442943533455,0.03472411836270584,0.0034700477623801278,0.006587299267408,0.00018852083362720475,0.0020771951759686494,0.003996214776185464,0.0005198848470807653,0.10010833238733133,0.5064424252278041,38.47256843760255
